,Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,candidate_matching,candidate_selection
45,2.1min,3fdc835906ae45a7bef9e8759de5f3dc,crawling-foal-649,FINISHED,0.1907692307692307,529,0.512396694214876,0.1172022684310018,0.1466395112016293,402,0.4044943820224719,0.0895522388059701,0.2285115303983228,766,0.5797872340425532,0.1422976501305483,0.9442971984316474,0.1976133651551312,0.5201005025125628,0.1219799646434885,0.6218251947758059,448190,backtrans_candidates,masakhaner2,yor,pipeline_eval,compare_to_original,simalign,argmax,dummy
46,40.0s,c20ce2e3bb36482db03a4fd70821e0a2,dashing-whale-154,FINISHED,0.6528803545051699,773,0.7607573149741824,0.5717981888745148,0.7369439071566732,540,0.771255060728745,0.7055555555555556,0.8176100628930819,840,0.8666666666666667,0.7738095238095238,0.9663918690005646,0.7405731523378581,0.8071232876712329,0.6841616349280074,0.8605322020433963,448181,align_src,masakhaner2,luo,pipeline_eval,compare_to_original,simalign,,
47,51.3s,d21890b190724ae698421cd96de55bda,enthused-auk-891,FINISHED,0.2844243792325056,337,0.5943396226415094,0.1869436201780415,0.2803347280334728,373,0.638095238095238,0.1796246648793565,0.1244979919678715,888,0.5740740740740741,0.0698198198198198,0.915586904853178,0.2003129890453834,0.6018808777429467,0.1201501877346683,0.5566132021670943,448191,backtrans_candidates,masakhaner2,zul,pipeline_eval,compare_to_original,awesome,argmax,dummy
48,58.2s,b3762eb43963434da2e9dfa1e89a21d4,capricious-skunk-610,FINISHED,0.5286549707602339,529,0.6932515337423313,0.4272211720226843,0.5164179104477612,402,0.6455223880597015,0.4303482587064676,0.4894391842680262,766,0.5535420098846787,0.4386422976501306,0.96217116071233,0.5072463768115943,0.6119900083263947,0.4331172657631114,0.8287856011379439,448190,candidates,masakhaner2,yor,pipeline_eval,compare_to_original,awesome,argmax,ner
49,10.2min,d3a747d3df074aa68b25195461e745bf,grandiose-turtle-275,FINISHED,0.6766917293233082,218,0.7458563535911602,0.6192660550458715,0.5764966740576497,193,0.5038759689922481,0.6735751295336787,0.8705357142857142,223,0.8666666666666667,0.874439461883408,0.983377017519658,0.7087827426810478,0.6927710843373494,0.7255520504731862,0.9707643856281346,448187,candidates,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,argmax,dummy
50,29.8s,820cedf2e49c45cb8de69ae9cbc40515,spiffy-whale-426,FINISHED,0.1337448559670782,539,0.1501154734411085,0.1205936920222634,0.1846392552366175,841,0.265625,0.1414982164090368,0.312951372171401,1173,0.3595132743362831,0.2770673486786019,0.8042619463648104,0.2346703550023052,0.2851540616246498,0.199373286329808,0.8086331373814857,448189,align_tgt,masakhaner2,xho,pipeline_eval,compare_to_original,awesome,,
51,1.5min,27d6a20c9cb546a99a5dc42c9241c822,blushing-lynx-581,FINISHED,0.4495530012771392,566,0.8110599078341014,0.3109540636042402,0.0186046511627906,95,0.0166666666666666,0.0210526315789473,0.6031331592689295,459,0.752442996742671,0.5032679738562091,0.9650574569073196,0.4637188208616779,0.6350931677018633,0.3651785714285714,0.7486347835837633,448174,backtrans_candidates,masakhaner2,bam,pipeline_eval,compare_to_original,awesome,argmax,ner
52,46.5s,cfc4f51e97b14779a941d5dfe68f1c7d,auspicious-moose-944,FINISHED,0.5574572127139364,773,0.7533039647577092,0.4424320827943079,0.6068660022148394,540,0.7548209366391184,0.5074074074074074,0.6056236481614996,840,0.7678244972577697,0.5,0.9543760587238848,0.5891384702871766,0.7595307917888563,0.4811890385508592,0.7140524031975863,448181,backtrans_candidates,masakhaner2,luo,pipeline_eval,compare_to_original,awesome,argmax,ner
53,54.2s,1f961b92aa14458badaffef8be228c8c,exultant-midge-592,FINISHED,0.1511335012594458,337,0.5,0.0890207715133531,0.1964285714285714,373,0.5866666666666667,0.1179624664879356,0.0903361344537815,888,0.671875,0.0484234234234234,0.9142068542513224,0.1302170283806344,0.5879396984924623,0.0732165206508135,0.5110143997718849,448191,backtrans_candidates,masakhaner2,zul,pipeline_eval,compare_to_original,simalign,argmax,ner
54,37.5s,87943dd5e8b5418db1c9b3ec7d88a1a1,aged-sponge-652,FINISHED,0.1656050955414012,539,0.1935483870967742,0.1447124304267161,0.1963864886095837,841,0.2893518518518518,0.1486325802615933,0.3371007371007371,1173,0.3979118329466357,0.2924126172208013,0.8193041100053179,0.2569411764705882,0.3217442545668827,0.2138660399529964,0.7719308651762643,448189,align_tgt,masakhaner2,xho,pipeline_eval,compare_to_original,simalign,,
